Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With wage or salary income,Margin of Error; Total: - With wage or salary income,Estimate; Total: - No wage or salary income,Margin of Error; Total: - No wage or salary income
Allegheny Center,1,733,103,462,94,271,87
Allegheny West,2,150,46,120,40,30,26
Allentown,3,1138.0,152.751432072,772.0,146.771931922,366.0,109.389213362
Arlington,4,685.0,105.366028681,566.0,104.589674443,119.0,44.4522215418
Arlington Heights,5,170,69,96,58,74,52
Banksville,6,2002.0,224.986666271,1596.0,226.477371938,406.0,145.168867185
Bedford Dwellings,7,684,63,294,69,390,77
Beechview,8,3557.0,270.051846874,2654.0,249.649754657,903.0,162.154247555
Beltzhoover,9,869.0,146.594679303,586.0,117.187883333,283.0,107.712580509
Bloomfield,10,4640.0,215.506380416,3789.0,223.385317333,851.0,117.388244726
Bluff,11,274.0,67.6830850361,216.0,65.4293512118,58.0,31.064449134
Bon Air,12,356,74,281,71,75,36
Brighton Heights,13,3259.0,203.816093574,2461.0,200.629010863,798.0,132.453765518
Brookline,14,6017.0,340.492290662,4578.0,346.261461905,1439.0,194.221523009
California-Kirkbride,15,291,52,158,51,133,37
Carrick,16,4310.0,280.110692406,3112.0,266.793927968,1198.0,177.033895059
Central Business District,17,1831.0,222.436507795,1379.0,213.64456464,452.0,120.851148113
Central Lawrenceville,18,2230.0,175.339670354,1616.0,167.73789077,614.0,120.610944777
Central Northside,19,1487.0,126.4673871,1079.0,122.702893201,408.0,76.0328876211
Central Oakland,20,1918.0,152.6761278,1658.0,157.94619337,260.0,87.0287308881
Chartiers City,21,215,60,159,59,56,30
Chateau,22,0,10,0,10,0,10
Crafton Heights,23,1640.0,124.49899598,1114.0,121.922106281,526.0,95.9062041789
Crawford-Roberts,24,1146.0,147.322774886,492.0,116.811814471,654.0,134.417260796
Duquesne Heights,25,1175.0,108.706025592,906.0,99.7045635866,269.0,70.6611633077
East Allegheny,26,1318.0,147.989864518,891.0,140.035709731,427.0,109.622078068
East Carnegie,27,223,38,180,38,43,22
East Hills,28,1325.0,142.530698448,692.0,130.080744155,633.0,138.311243216
East Liberty,29,2894.0,229.279305651,1978.0,219.212225936,916.0,154.411787115
Elliott,30,947.0,129.853763904,604.0,107.419737479,343.0,100.965340588
Esplen,31,147,53,129,54,18,20
Fairywood,32,457,85,447,83,10,16
Fineview,33,648.0,107.517440446,393.0,103.7111373,255.0,80.7217442824
Friendship,34,1077.0,125.924580603,972.0,142.688471854,105.0,76.1577310586
Garfield,35,1506.0,137.648102058,873.0,134.175258524,633.0,111.296900226
Glen Hazel,36,254,86,84,54,170,72
Greenfield,37,3390.0,248.064507739,2580.0,255.628636893,810.0,162.231316335
Hays,38,170,38,127,42,43,28
Hazelwood,39,1884.0,205.625873858,1155.0,179.974998264,729.0,138.704722342
Highland Park,40,3025.0,247.513635987,2365.0,243.688325532,660.0,145.30657246
Homewood North,41,1275.0,144.855100014,774.0,132.585821263,501.0,101.503694514
Homewood South,42,1105.0,119.159556897,589.0,96.4831591523,516.0,92.9731143933
Homewood West,43,423.0,79.0253124005,229.0,72.422372234,194.0,59.6824932455
Knoxville,44,1508.0,214.471443321,1075.0,200.322240402,433.0,145.117194019
Larimer,45,660.0,94.6308617736,326.0,73.1641988954,334.0,75.4387168501
Lincoln Place,46,1444.0,146.656060223,987.0,138.657852284,457.0,97.7905925946
Lincoln-Lemington-Belmar,47,1897.0,153.264477293,1144.0,149.261515468,753.0,123.292335528
Lower Lawrenceville,48,1241.0,131.590273197,908.0,119.004201606,333.0,76.8439978138
Manchester,49,930.0,111.400179533,591.0,103.812330674,339.0,82.7345151675
