Community,pop_total,%race_white,%race_black,%race_other,%age_0-4,%age_5-18,%age_19-44,%age_45-64,%age_65+,%fem_married,%fem_single,%fem_sep,%fem_widowed,%fem_under15_married,%male_married,%male_single,%male_sep,%male_widowed,%male_under15_married
Aleppo,"1,134",93,6.0,1.0,5,19,39,30,7,56,18,5,5,16,55,18,6,2,19
Allegheny Center,"1,554",62,35.0,3.0,3,12,45,24,16,21,46,11,12,9,27,43,16,4,10
Allegheny County,"1,450,085",89,10.4,0.9,5.5,20.1,36.6,24.1,13.8,41.9,21.6,6.7,12.5,17.2,46.8,25.3,5,2.8,20.1
Allegheny West,845,89,10.0,1.0,3,7,43,27,19,26,28,15,22,8,20,48,22,4,6
Allentown,"4,043",97,3.0,0.0,8,20,34,23,15,37,19,9,15,19,41,26,6,4,24
Arlington,"2,764",96,3.0,1.0,7,21,33,24,15,41,20,6,13,19,46,24,4,3,22
Arlington Heights,"1,438",6,94.0,0.0,18,37,35,7,3,9,31,21,6,33,11,24,3,1,61
Aspinwall,"3,284",100,0.0,0.0,4,15,38,23,19,40,24,8,16,12,51,25,5,3,16
Avalon,"6,240",97,3.0,0.0,5,16,35,23,21,38,22,8,18,13,49,24,5,3,19
Baldwin Borough,"24,598",99,1.0,0.0,5,22,36,26,10,52,22,3,2,21,48,19,5,9,18
Baldwin Township,"2,680",100,0.0,0.0,6,23,35,26,10,50,15,4,9,21,54,20,2,2,21
Banksville,"5,552",96,2.0,2.0,5,15,45,23,12,42,27,6,12,13,45,32,6,3,14
Bedford Dwellings,"2,878",4,95.0,1.0,8,28,30,20,14,14,27,19,19,21,21,30,8,6,36
Beechview,"10,628",97,3.0,0.0,6,20,38,24,13,41,22,7,13,17,46,25,4,3,22
Bell Acres,"1,307",99,1.0,0.0,5,22,33,32,8,58,14,2,6,19,58,21,2,2,18
Bellevue,"10,128",98,1.0,1.0,4,15,39,23,19,36,26,10,17,12,48,27,7,3,16
Beltzhoover,"4,258",20,78.0,2.0,7,23,32,26,12,32,22,12,13,21,35,28,9,4,24
Ben Avon,"2,314",96,3.0,1.0,6,22,36,23,14,45,20,6,10,18,50,22,4,3,21
Ben Avon Heights,398,98,1.0,1.0,5,25,28,29,13,56,10,3,8,22,58,21,1,1,19
Bethel Park,"34,755",98,1.0,1.0,6,25,37,24,8,49,18,4,8,21,52,21,3,2,23
Blawnox,"1,653",99,0.0,1.0,4,17,37,26,15,41,22,8,16,13,45,28,7,3,17
Bloomfield,"11,924",95,3.0,2.0,4,12,42,23,18,31,34,8,16,10,40,35,8,4,13
Bluff,"4,504",82,15.0,2.0,2,16,65,10,7,8,77,5,6,4,10,74,7,3,5
